test_name,metric_name,projection,mean,std,cv,n_observations,non_discriminant
PAT-001,diversity_simpson,relative_change,0.511526420583094,2.6041432344408983,5.090926156800287,2400,False
PAT-001,uniformity,relative_change,0.40551569756626465,1.7364471268905106,4.282071291720491,2400,False
SPA-001,gradient_magnitude,relative_change,9084418514.932024,28858608269.571323,3.1767149677369595,2400,False
SPA-001,laplacian_energy,relative_change,9.14894294330422,46.587574748844176,5.092126493469929,2400,False
SPA-001,smoothness,relative_change,0.22090099676145938,0.3391592118465408,1.5353448686009457,2400,False
SPE-001,eigenvalue_max,relative_change,9.08449203488631e+292,inf,inf,2400,False
SPE-001,spectral_gap,relative_change,520138087.0291565,1959823280.8545477,3.7678903539795754,2400,False
SPE-001,spectral_radius,relative_change,9.08449203488631e+292,inf,inf,2400,False
SYM-001,asymmetry_norm,relative_change,3.215469283629297e+143,1.512397573392594e+145,47.03504963000463,2400,False
SYM-001,asymmetry_norm_normalized,relative_change,587138750.5550288,2691988841.4163256,4.584927904812208,2400,False
TOP-001,connected_components,relative_change,2.310182160016755,15.572989332292606,6.741022245700165,2400,False
TOP-001,euler_characteristic,relative_change,1287500000.7037385,20464620130.398735,15.89485057802945,2400,False
TOP-001,holes_count,relative_change,23004166667.0631,127444824594.62206,5.5400756932045265,2400,False
UNIV-001,frobenius_norm,relative_change,2.0217557352856616e+143,9.36772052760171e+144,46.334581196467376,2400,False
UNIV-002,trace_absolute,relative_change,7.049134858645655e+292,inf,inf,2400,False
UNIV-002,trace_normalized,relative_change,7.020776836171496e+292,inf,inf,2400,False
